smiles,neg_log2_mic
NCCCOc1cccc(-n2cc(-c3cccc(-c4cn(-c5cccc(OCCCN)c5)nn4)c3)nn2)c1,-4.643856189774724
O=C(NC(=S)Nc1nc2cc([N+](=O)[O-])ccc2s1)c1cccs1,-3.9068905956085187
COc1cc(OC)nc(-c2nc(N3CCC(NC(=O)c4[nH]c(C)c(Cl)c4Cl)C(OC)C3)sc2C(=O)O)n1,-0.0
NC(N)=Nc1nc(-c2csc3ccccc23)cs1,-5.0
CC(C)C(=O)C1=C2OC(C(C)(C)O)CC2(C)C(=O)C2(CC3C(CCC3(C)O)C(C)(O)C2)C1=O,-5.0
O=C(CSc1nc[nH]n1)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12,-4.0
COc1ccc2nc(CNC34CCC(CC5(O)Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)c(F)cc2n1,-4.0
CCN1C(NNC(=O)c2ccc(-c3ccccc3[N+](=O)[O-])o2)=NS(=O)(=O)c2ccccc21,-4.22881869049588
CN(C)CC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,5.321928094887363
OC1(c2ccc(-c3ccccc3)cc2)C[N+](c2ccc(Cl)cc2)=C2CCCCCN21,-5.0
O=C1OC(CO)CN1c1ccc(-c2cc(O)c(F)cc2F)cc1,-5.0
CC(C)NC(=N)c1ccc2cc(-c3ccc(Oc4ccc(-c5cc6ccc(C(=N)NC(C)C)cc6[nH]5)nc4)cc3)[nH]c2c1,-1.0
Clc1ccc(-n2cc(CN(Cc3cn(-c4ccc(Cl)cc4)nn3)c3nc4ccccc4s3)nn2)cc1,-3.643856189774725
Cc1c(N2CCC(C(C)N)C2)c(F)cc2cc(C(=O)O)c(=O)n(C3CC3)c12,-2.0
CCS(=O)(=O)CCSc1nnc(-c2ccc([N+](=O)[O-])o2)s1,-5.0
CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(Cl)cc3)c(=O)n2C1c1ccc(SC)cc1,-4.643856189774724
CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl,-3.643856189774725
N#Cc1cnc2ccc(=O)n(CCNC3CCC4C(C3)OC(=O)N4c3ccc4c(n3)NC(=O)CO4)c2c1,7.965784284662087
Cn1cc([N+](=O)[O-])cc1-c1nnc(-c2cc(-c3ccccc3)nc3ccc(Cl)cc23)o1,1.3584539709124763
O=C(O)c1cn(C2CC2)c2cc(C3CCNCC3)c(F)cc2c1=O,2.321928094887362
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(Cc4c[n+](CCO)cn4C)C3)C(C)C12,3.321928094887362
O=c1cc(OCc2cn(Cc3cccc([N+](=O)[O-])c3)nn2)c2ccccc2o1,-1.0
S=c1n(CN2CCOCC2)nc(-c2cccs2)n1-c1ccccc1,-2.643856189774725
CCCn1c(-c2ccc(Cl)cc2Cl)nc2cc(C(=O)NN=Cc3ccccc3[N+](=O)[O-])ccc21,-3.643856189774725
O=c1c2ccccc2n2c3nc4ccccc4c-3nnc2n1-c1ccc(Cl)cc1,-1.6415460290875237
Cn1c(CN2CCCC2)cc2cc3c(cc21)CCCc1c-3[nH]c(=O)c(C(=O)O)c1O,3.0588936890535687
CC(=CSc1ccccc1)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,-0.6415460290875237
CC(O)C1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(-c4cnco4)cc3)C(C)C12,2.321928094887362
CCCCCC=CCCC(O)CCCCCCCc1nnc(Nc2ccccc2)s1,-2.643856189774725
O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCC(O)CO)nc56)(CC3)OC4)nc2N1,-4.0
Nn1c(Sc2ccc(S(=O)(=O)Cl)cc2)nnc1-c1ccccc1,-3.9068905956085187
CCCCCn1c(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4CC)CC2)nc2ccccc21,-3.0
COC1CN(c2nc(C(=O)N(C)C)c(C(=O)O)s2)CCC1NC(=O)c1[nH]c(C)c(Cl)c1Cl,-1.0
CCC(CN)=C1CN(c2nc(Oc3cnc(C(C)(C)O)nc3)nc3[nH]c4c(NC)cc(F)cc4c23)C1,1.0
N#Cc1cnc(NC(=O)Nc2ccc(F)c(F)c2)s1,-2.0
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2)CC1,0.3584539709124763
O=C1NC(=S)SC1=Cc1ccc(C=Nn2c(-c3ccccc3Br)n[nH]c2=S)cc1,-4.0
CCCC(NC)C(=O)NC(CCC)C(=O)NC(CCC)C(=O)NC(C)P(=O)(O)O,1.0
Cc1ccc(-n2nc(C)c(C=NNC(=O)Cn3c([N+](=O)[O-])cnc3C)c2Oc2ccc(F)cc2)cc1,-1.6415460290875237
Sc1nnc(-c2cc(Br)c(Br)[nH]2)o1,-3.643856189774725
Cc1[nH]c(C(=O)Nc2nc3c(OC4Cc5ccccc54)cc(C(=O)O)cc3s2)c(Cl)c1Cl,3.0
CC(CC(=O)NO)S(=O)(=O)c1ccccc1,-5.0
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CN4CCN(Cc5ccccc5)S4(=O)=O)C3)C(C)C12,2.358453970912476
Cc1cc(C(=O)C=Cc2c(C)cn(-c3ccccc3)c2C)c(C)s1,-4.0
Cc1nccc2c1[nH]c1ccccc12,-3.0
O=C1SC(=Cc2sc(Cl)nc2Cl)C(=O)N1Cc1ccc(F)cc1,-4.643856189774724
CCOC(=O)Cc1ccccc1OC(=O)c1cccc([N+](=O)[O-])c1,-1.6438561897747246
COC(=O)C1=C(C)OC(C)(C=CCCC(C)O)C1=O,-2.4329594072761065
CCOC(=O)C1=C(C(=O)OCC)N(c2ccc(Cl)cc2)CN(c2ccc(Cl)cc2)C1,-3.9068905956085187
CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1NC,3.0
O=C1c2cccc3c(NN=Cc4cccs4)ccc(c23)C(=O)N1C(CO)CO,-5.0
Oc1ccc2sc(CNc3nncc(-c4c(O)ccc5ccccc45)n3)nc2c1,3.9885043611621707
O=c1c2ccccc2c2ncccc2n1CCN1CCC(NCc2cc3c(cn2)OCCC3)CC1,-4.0
O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccco2)=N1,-1.6461626571578936
O=C(Cc1ccccc1)N1CCCN(c2ccn3cc(-c4ccc(F)cc4)nc3n2)CC1,-3.070389327891398
CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)NN=Cc3ccc([N+](=O)[O-])o3)CCCC21C,-1.9634741239748859
Cc1ccc(CC(=O)Nc2ccc3oc(Cc4ccccc4)nc3c2)cc1,-4.643856189774724
CON=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2F)C1CN,6.965784284662087
Cc1ccccc1Nc1ccccc1-c1ccccc1[N+](=O)[O-],-5.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NN=C1C(=O)Nc3cc(Cl)ccc31)O2,-3.643856189774725
CCn1cc(C(=O)O)c(=O)c2c(F)c(F)c(N3CCC4(CCN(C)C4)C3)c(F)c21,0.3219280948873623
CC(C)CNc1nccc(NCCCNC2CCCc3c2[nH]c2ccc(F)cc32)n1,-3.643856189774725
CCc1c(-c2ccc3c(c2)cc(CNC(C)(C)C)n3C)[nH]c(=O)c(C(=O)O)c1O,2.9434164716336326
O=C(c1cn(-c2ccc(Cl)cc2)nn1)c1c(-c2ccc(Cl)cc2)nc2sccn12,-1.9634741239748859
CC1C(N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn3c2c1OCC3C,6.058893689053568
O=C(O)c1cn(C2CC2)c2cc(N3CCN(CC(O)Cn4cc([N+](=O)[O-])nc4Cl)CC3)c(F)cc2c1=O,-1.0
CC(=O)c1cc2ccccc2n(N=Cc2ccc(C)cc2)c1=O,-0.6780719051126377
COc1ccc(Cn2c(=O)c(F)cn(Cc3nc4ccccc4n3Cc3ccc(OC)cc3)c2=O)cc1,-4.0
O=C(O)c1cccc(-n2c(C=Cc3ccc(F)cc3)nc3ccncc3c2=O)c1,-4.0
Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,8.380821783940931
CCOC(=O)c1sc(N=C2NC(=O)C(=C3C(=O)Nc4ccc(Br)cc43)S2)nc1C,-0.963474123974886
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc2cc1C(F)(F)F,-3.0
CC(=O)NCC1CN(c2ccc(-c3ccc(C#N)c(O)c3)c(F)c2)C(=O)O1,-5.0
Cc1cc(C)cc(Cn2cc(COc3ccccc3-c3nn(-c4ccccc4)cc3C=O)nn2)c1,-2.4594316186372973
Fc1ccccc1CN(CCBr)CCn1cncn1,-5.0
C=CC1(C)CC(OC(=O)COC(=O)C=Cc2ccsc2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,-5.0
CCCCCCCNC(=O)Nc1ccc(F)c(F)c1F,-2.643856189774725
COc1ccc(C2=NN(C(C)=O)C(c3cc(OC)cc(OC)c3)C2)cc1,-3.643856189774725
COc1cc(C2SCC(=O)N2CCN2CCNCC2)ccc1O,-3.228049047884462
NC1=NC(c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)N=C(N2CCOCC2)N1,-4.0
C[n+]1c2ccccc2c(Nc2ccccc2)c2[nH]c3ccccc3c21,-3.584962500721156
O=CN(O)CC(CC1CCCC1)C(=O)N1CC=CC1C(=O)Nc1ccc(F)cn1,-4.0
CCCCCCCCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(N)CCCNC(=N)N,-4.954196310386875
O=C(O)C1=C(c2ccccc2)CC2CC(=O)N12,3.321928094887362
O=c1cc(COc2cccc(OCc3cc(=O)oc4ccc(Cl)cc34)c2)c2cc(Cl)ccc2o1,-3.643856189774725
CNC(=O)c1sc(N2CCC(NC(=O)c3[nH]c(C)c(Cl)c3Cl)C(OC)C2)nc1C(=O)O,-1.0
CCCCCCCCCC(=O)N1CCN(c2ccc(N3CC(Cn4ccnn4)OC3=O)cc2F)CC1,-3.0
CCCCc1ccsc1-c1ccc(O)c(O)c1,-2.321928094887362
CC(ON=C(C(=O)NC1C(=O)N2C1[S+]([O-])CC1CC(=O)OC12C(=O)O)c1csc(N)n1)C(=O)O,3.0
CC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,1.0
COc1ccc2nc(N3CCNCC3)c(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,-3.0
COc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,-0.5849625007211562
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc2[nH]ccc2c1,1.0
O=C1C(Cl)C2(C(=O)Nc3ccccc32)N1c1ccc([N+](=O)[O-])cc1,-4.643856189774724
COc1ccccc1-c1cc2c(cc1F)c(=O)c1c(=O)[nH]sc1n2C1CC1,-1.0
Cc1c(N2CCN(c3nc4ccccc4[nH]3)CC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,3.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NN=C1C(=O)N(C)c3ccc(Cl)cc31)O2,-3.643856189774725
O=C(NNS(=O)(=O)c1ccc(F)cc1)N1N=C(c2ccccc2)CC1c1ccccc1,-4.643856189774724
O=C(NCCN=Cc1cc(Br)cc(Br)c1O)c1ccccc1O,-2.643856189774725
N#CC1=C(N)Oc2c(ccc3ccccc23)C1c1ccccc1[N+](=O)[O-],-5.0
Clc1cccc(CN(CCn2ccnc2)CCn2ccnc2)c1,-5.0
CCNC(=O)Nc1ccc(-c2nc3cccc(C(=O)O)c3s2)cn1,-3.0
O=C(O)COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,-4.0
NCC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC1=NOCc1ccccc1,1.0
COc1ccc2ncc(F)c(CCN3CCC(C(O)C(O)c4ccc(C)cc4)CC3)c2n1,-4.0
Cc1nc(-c2ccc3ccccc3c2)sc1-c1ccnc(NC2CCCCC2N)n1,-3.0
Cc1n(C)c(Br)c(Br)[n+]1CC(=O)c1ccccc1,-3.643856189774725
CCC1CCN(c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)CC1N,7.380821783940931
COc1ccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)cc1OC,-4.0
CN(C)CCCCNc1nc2cc([N+](=O)[O-])ccc2nc1NCc1ccc(C(F)(F)F)cc1,-1.207892851641333
CC(O)C1C(=O)N2C(C(=O)[O-])=C3C(OCCC#N)CCCC3C12,-0.0
CC(C)NCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,4.321928094887363
